Year,Month,Rate
2006 ,Aug,4.7500
2006 ,Nov,5.0000
2007,Jan,5.2500
2007,May,5.5000
2007,Jul,5.7500
2007,Dec,5.5000
2008 ,Feb,5.2500
2008 ,Apr,5.0000
2008 ,Oct,4.5000
2008 ,Nov,3.0000
2008 ,Dec,2.0000
2009 ,Jan,1.5000
2009 ,Feb,1.0000
2009 ,Mar,0.5000
2016 ,Aug,0.2500
2017 ,Nov,0.5000
2018 ,Aug ,0.7500
2020 ,Mar,0.2500
2021 ,Dec,0.2500
2022 ,Feb,0.5000
2022 ,Mar,0.7500
2022 ,May,1.0000
2022 ,Jun,1.2500
2022 ,Aug,1.7500
2022 ,Sep,2.2500
2022 ,Nov,3.0000
2022 ,Dec,3.5000
2023 ,Feb,4.0000
2023 ,Mar,4.2500
2023 ,May,4.5000
2023 ,Jun,5.0000
2023 ,Aug,5.2500
